File Extension,Ransomware,Present in other programs,Program type
rag2hdst,Unidentified,N,
4o4,Unidentified,N,
KoxENy1Wq,Unidentified,N,
XHAMSTER,Unidentified,N,
fbuvkngy,Unidentified,N,
vvv,STOP/DJVU,N,
surprise,Evil,N,
rejg,Unidentified,N,
Szymekk,Unidentified,N,
vvao,Unidentified,N,
Ouroboros,Unidentified,N,
[dungeon]-0_0,Unidentified,N,
u'Fie Extension ,Unidentified,N,
RADAMANT,Unidentified,N,
heroset,Unidentified,N,
johnborn@cock_li,Unidentified,N,
allcry,Unidentified,N,
Work,Unidentified,N,
ntu,Unidentified,N,
NOOB,Unidentified,N,
paralock,Unidentified,N,
evil,Unidentified,N,
wyvern,Unidentified,N,
Zenis,Unidentified,N,
Lost_Files,Unidentified,N,
3nCRY,Unidentified,N,
mvp,Unidentified,N,
sys,Unidentified,Y,Datafile(SYGRAPH-SYSTAT-SPSS/PC)
mbit,Unidentified,N,
#ransomwared,Unidentified,N,
HPJ,Unidentified,N,
Encrypted,Unidentified,N,
zeoticus,Unidentified,N,
xuy,Unidentified,N,
PROM,Unidentified,N,
CryForMe,Unidentified,N,
iso,Unidentified,Y,EasyCDCreatorDiscImage
KryptoLocker,Unidentified,N,
wrui,Unidentified,N,
GlobeimposterAlpha865qqz,Unidentified,N,
rand,Unidentified,N,
Stampado,Unidentified,N,
JKOUOGVG,Unidentified,N,
wannacry,Unidentified,N,
BELGIAN_COCOA,Unidentified,N,
KawaiiLocker,Unidentified,N,
gusau,Unidentified,N,
EnCiPhErEd,Globe,N,
KeRanger,Unidentified,N,
payload,Unidentified,N,
03rK,Unidentified,N,
b29,Unidentified,N,
BORISHORSE\u2026,Unidentified,N,
mecury,Unidentified,N,
qkG,Unidentified,N,
gocr,Unidentified,N,
RansomAES,Unidentified,N,
u'*_crypt,Unidentified,N,
un1que,Unidentified,N,
biglock,Unidentified,N,
kslhb,Unidentified,N,
nalog@qq_com,Unidentified,N,
kok,Unidentified,N,
AVCrypt,Unidentified,N,
XCry,Unidentified,N,
CrypMic,Unidentified,N,
GDCB,Unidentified,N,
PEC 2017,Unidentified,N,
ZeroRansom,Unidentified,N,
ZaLtOn,Unidentified,N,
paras1te,Unidentified,N,
wasted,Unidentified,N,
GRANIT,Unidentified,N,
GARMINWASTED,Unidentified,N,
COPAN,Unidentified,N,
WannaDie,Unidentified,N,
ciphered,Unidentified,N,
morseop*,Unidentified,N,
Avest,Unidentified,N,
lookfornewitguy,Unidentified,N,
Stealed,Unidentified,N,
g^od,Unidentified,N,
basslock,Unidentified,N,
ebay,Unidentified,N,
Chimera,Unidentified,N,
Roza,Unidentified,N,
ebal,Unidentified,N,
Locked-In,Unidentified,N,
DEUS,Unidentified,N,
iGotYou,Unidentified,N,
hnx911,Unidentified,N,
OOFNIK,Unidentified,N,
zonecare,Unidentified,N,
boston,Unidentified,N,
ram,Unidentified,Y,Ramfile(RealAudio)
mind,Unidentified,N,
nyan,Unidentified,N,
rat,Unidentified,Y,Datafile(RATS)
seed,Unidentified,N,
rar,Unidentified,Y,CompressedfilearchivecreatedbyRAR(rar1_402.exe)
Crab,Unidentified,N,
spectre,Unidentified,N,
za*,Unidentified,N,
mwahahah,Unidentified,N,
Maoloa,Unidentified,N,
u'(encrypted)*,Unidentified,N,
noblis,Unidentified,N,
Hucky,Unidentified,N,
isolated,Unidentified,N,
Devos,Unidentified,N,
u'MZReverenge*,Unidentified,N,
sgs911,Unidentified,N,
Devon,Unidentified,N,
zimba,Unidentified,N,
malwarehunterteam,Unidentified,N,
powerfuldecrypt,Unidentified,N,
dian,Unidentified,N,
Hermes666,Unidentified,N,
POSHKODER,Unidentified,N,
Doxes,Unidentified,N,
styver,Unidentified,N,
bam!,Unidentified,N,
ZyNoXiOn,Unidentified,N,
x3mpro,Unidentified,N,
DirtyDecrypt,Unidentified,N,
eaaeee,Unidentified,N,
zXz,Unidentified,N,
cryptolocker,WannaCry,N,
wncry,Wana,N,
