!bt	BitTorrentIncompleteDownloadfile
!qb	qBittorrentPartialDownloadfile
!ut	uTorrentIncompleteDownloadfile
#24	Printerdatafilefor24pinmatrixprinter(LocoScript)
#ib	Printerdatafile(LocoScript)
#sc	Printerdatafile(LocoScript)
#st	Standardmodeprinterdefinitions(LocoScript)
$#!	Cryptext
aos	Add-OnSoftware(Nokia9000)
ap	CompressedAmigafilearchivecreatedbyWHAP
apc	Printerdriver(Lotus1-2-3)
apd	Printerdriver(Lotus1-2-3)
ape	Musicformat(differentplayers)
apf	Printerdriver(Lotus1-2-3)
api	AdobeAcrobatPluginfile
apk	AndroidPackagefile
apl	APLworkspaceformatfile
apm	ArcPad6file
app	Add-inapplicationfile(Symphony)
apr	Employeeperformancereview(EmployeeAppraiser)
aps	MSVisualC++file
apx	Appexpertdatabasefile(BorlandC++4.5)
arc	CompressedfilearchivecreatedbyARC
arf	AutomaticResponsefile
arg	AutoCADProfileExportfile
ari	CompressedfilearchivecreatedbyARI
arj	CompressedfilearchivecreatedbyARJ(arj241.exe)
arl	AOLOrganizerFile
ark	ArcfilearchivecreatedbyCP/MportofARCfilearchiver
arr	Arrangement(AtariCubase)
ars	AdobeAfterEffectsRender
art	Graphics(scrapbook)(ArtImport)
arv	ArsivFile
arx	CompressedfilearchivecreatedbyARX
asa	MSVisualInterDevfile
asc	Asciitextfile
ascx	MicrosoftASP.NETusercontrolfile
asd	Autosavefile(WordforWindows)
asf	Datafile(STATGRAPHICS)
ash	Assemblylanguageheaderfile(TASM3.0)
asi	Assemblerincludefile(TurboC-BorlandC++)
asl	AdobePhotoshopLayerfile
asm	Assemblysourcecodefile
asmx	Microsoft.NETWebServicefile
aso	Assemblerobject(objectorientated)file(TurboAssembler)
asp	MicrosoftActiveServerPage
aspx	MicrosoftASP.NETfile
asr	MsAutomapRoute
asx	MicrosoftWindowsMediaActiveStreamRedirectorfile
asx	MicrosoftAdvancedStreamingFormat
at2	Autotemplate(AldusPersuasion2.0)
atm	AdobeTypeManagerdata/info
atn	AdobePhotoshopActionfile
atr	LightscapeMaterialLibrary
att	AT&TGroup4Bitmap
aty	3DTopicscape(Exportedassociationtype)
au	Sound(audio)file(SUNMicrosystems)
au3	Autoit3scriptfile
aud	Audiofile
aut	AutoItScript
aux	Auxillaryreferences(TeX/LaTeX)
ava	Publication(Avagio)
avb	InoculanAnti-Virusvirusinfectedfile
avd	AveryLabelProDatafile
avi	AudioVideoInterleavedanimationfile(VideoforWindows)
avr	AudioVisualResearchfile
avs	Animationfile
avx	ArcViewfile
aw	Textfile(HPAdvanceWrite)
awb	LavasoftAd-awarebackupfile
awd	AWDMSFax
awe	AdobeAcrobatBookmarkXMLfile
awk	Awkscript/program
awm	Movie(AnimationWorks)
awp	MicrosoftFaxkeyviewer
awr	TelsisDigitalAudiofile
aws	Data(STATGRAPHICS)
ax	DirectShowFilter
axd	AveryLabelProRe-Indexfile
axe	ParadigmC++IntegratedDebuggerfile
axg	MSAutorouteTripfile
axl	ArcIMSXMLProjectfile
axs	AMXAxcesscontrolsystemfileformat
axt	ZenWorkssnAPPshotASCIIApplicationObjecttemplate
axx	axxessfilesusedasbackupsofInter-Teldatabases
azw	AmazonKindleeBookFile
azz	AZZCardfile
b	Batchlist(APPLAUSE)
b&w	Blackandwhitegraphics(atari-mac)
b~k	backupfile
b00	CDImageSegmentfile
b16	PCOGraphicfile
b1n	Bothmonoandcolorbinaryscreenimage(1stReader)
b1s	Booksmith
b30	Printerfont(JLaser-Cordata)(VenturaPublisher)
b3d	3DBuilderfile
b5i	Blindwrite5DiskImagefile
b5t	Blindwrite5ImageInformationfile
b6i	Blindwrite6DiskImagefile
b6t	Blindwrite6ImageInformationfile
b8	Rawgraphics(onebyteperpixel)planetwo(PicLab)
b_w	Blackandwhitegraphics(atari-mac)
bad	Badfile(Oracle)
bag	PMMailMailIndexfile
backup	Ad-AwareReferencefile
bak	Backupfile
bal	Musicscore(Ballade)
ban	SierraPrintArtistBanner
bar	Horizontalbarmenuobjectfile(dBASEApplication
bas	Basicsourcecodefile
bat	Batchfile(DOS)
bb	Databasebackup(Papyrus)
bba	SettlerIVArchivefile
bbl	Bibliographicreference(TeX/BibTeX)
bbm	Brush(DeluxePaint)
bbs	BulletinBoardSystemannounceortextinfofile
bc!	BitcometIncompletedDownloadfile
bcf	ConfigSafeSnapshotindex
bch	Batchprocessobjectfile(dBASEApplicationGenerator)
bck	Backup
bcm	MSWorksCommunicationsfile
bcn	BusinessCardProDesign
bco	Outlinefontdescription(Bitstream)
bcp	BorlandC++makefile
bct	BusinessCardDesignertemplate
bcw	Environmentsettings(BorlandC++4.5)
bde	BorlandDatabaseEngine
bdf	BitmapDistributionFormatfontfile(X11)
bdm	AVCHDIndexfile
bdmv	Blu-rayinformationfile
bdr	Border(MSPublisher)
bez	Outlinefontdescription(Bitstream)
bf2	Bradford2font
bff	Binaryfileformat
bfm	Fontmetrics(unix/Frame)
bfs	TivoliStorageManagerfile
bfx	Fax(BitFax)
bga	Bitmapgraphics
bgt	Quicken2002InternetCommonFile
bgi	BorlandGraphicsInterfacedevicedriver
bgl	FlightSimulatorsceneryfile
bgt	Quicken2002InternetCommonFile
bib	Bibliography(ASCII)
bic	CivilizationIIIScenario
bid	BidMaker2002file
bif	BinaryImageFormatb&wgraphics(ImageCaptureboard)
bik	BioCharterProfilebackupfile
bin	Binaryfile
bio	OS/2BIOS
bip	Free-motioncapturefilesforcharacterstudiobiped
bit	BitmapImage
bk	Faxbook(JetFax)
bk!	Documentbackup(WordPerfectforWin)
bk1	Timedbackupfilefordocumentwindow1(WordPerfectfor
bk2	Timedbackupfilefordocumentwindow2(WordPerfectfor
bk3	Timedbackupfilefordocumentwindow3(WordPerfectfor
bk4	Timedbackupfilefordocumentwindow4(WordPerfectfor
bk5	Timedbackupfilefordocumentwindow5(WordPerfectfor
bk6	Timedbackupfilefordocumentwindow6(WordPerfectfor
bk7	Timedbackupfilefordocumentwindow7(WordPerfectfor
bk8	Timedbackupfilefordocumentwindow8(WordPerfectfor
bk9	Timedbackupfilefordocumentwindow9(WordPerfectfor
bkf	MicrosoftBackupfile
bkg	Backgroundfile
bkp	Backupfile(Write-TurboVidionDialogDesigner)
bkw	Mirrorimageoffontset(FontEdit)
blb	DreamWorksResourceArchive
bld	Bloadablepicture(BASIC)
blend	Blender3Dfile
blf	WindowsRegistryRecoveryfile
blg	BinaryPerformanceLogFile
blk	Temporaryfile(WordPerfectforWin)
blob	SteamArchivefile
blt	SavedAIMBuddyListfile
bm	Bitmapgraphics
bmf	CorelImagefile
bmi	3dsmaxExecutable
bmk	HelpBookmarks(Windows3.x)
bmp	Bitmapgraphics(PCPaintbrush-many)
bmx	Buzzmusicfile
bnd	Typequickfile
bndl	Bundlefile
bnk	Adlibinstrumentbankfile
bob	BobDownDownloadingProgram
bom	MicroSimPCBoardBillofMaterials
boo	CompressedfileASCIIarchivecreatedbyBOO(msbooasm.arc)
book	AdobeFrameMakerBook
bot	Linkbotfile
box	MyriadJukeboxfile
bpc	Chart(BusinessPlanToolkit)
bpl	DelphiLibrary
bpt	Bitmapfillsfile(CorelDRAW)
bqy	BrioQueryfile
br	Script(Bridge)
brd	EagleLayoutfile
brf	BrailleASCIIfile
brk	Fax(BrooktroutFax-Mail)
brn	BornoSoftBangla2000(aBengaliwordprocessor)File
bro	TreeProfessionalBroadleafCreatorfile
brp	TreeProfessionalBroadleafCreatorimage
brt	MicrografxPicturePublisherfile
brx	Multimediabrowsingindex
bsa	CompressedfilearchivecreatedbyBSARC
bsb	MapInfoSeaChart
bsc	CompressedAppleIIfilearchivecreatedbyBINSCII
bsdl	BoundaryScanDescriptionLanguage
bsl	BSPlayerConfigurationfile
bsp	Half-life/TFC/CSMap
bst	BibTeXStylefile
bsv	BluespecSystemVerilogfile
bt!	BitTorrentPartialDownloadfile
btm	BatchToMemorybatchfile(4DOS)
btn	Buttonwarefile
bto	BaytexOrganix!2001LanguageKit
btr	BtrieveDatabasefile
btx	DB/TextWorksDatabaseTerm&Indexes
bud	QuickenBackup
bug	BugsandProblems
bun	BundledAudiofiles
bup	DVDBackupfile
but	Buttondefinitions(Buttons!)
buy	Datafileformat(movie)
bv1	OverflowfilebelowinsertpointinDoc1(WordPerfectfor
bv2	OverflowfilebelowinsertpointinDoc2(WordPerfectfor
bv3	OverflowfilebelowinsertpointinDoc3(WordPerfectfor
bv4	OverflowfilebelowinsertpointinDoc4(WordPerfectfor
bv5	OverflowfilebelowinsertpointinDoc5(WordPerfectfor
bv6	OverflowfilebelowinsertpointinDoc6(WordPerfectfor
bv7	OverflowfilebelowinsertpointinDoc7(WordPerfectfor
bv8	OverflowfilebelowinsertpointinDoc8(WordPerfectfor
bv9	OverflowfilebelowinsertpointinDoc9(WordPerfectfor
bwa	BlindWriteDiskImageInformationfile
bwb	Spreadsheetapplication(VisualBaler)
bwi	Blindread/Blindwrite
bwr	Beware(buglist)(Kermit)
